agent,time,score,result
ExpectimaxAgent,0:00:30.982288,446,Lose
ExpectimaxAgent,0:00:13.239535,-71,Lose
ExpectimaxAgent,0:00:12.803425,-127,Lose
ExpectimaxAgent,0:00:13.753493,-164,Lose
ExpectimaxAgent,0:00:19.088838,212,Lose
ExpectimaxAgent,0:00:26.359424,157,Lose
ExpectimaxAgent,0:00:41.016730,151,Lose
ExpectimaxAgent,0:00:51.432690,1244,Win
ExpectimaxAgent,0:00:05.451960,-376,Lose
ExpectimaxAgent,0:00:11.475918,-143,Lose
ExpectimaxAgent,0:00:12.799919,-135,Lose
ExpectimaxAgent,0:00:10.516554,-143,Lose
ExpectimaxAgent,0:00:26.743279,367,Lose
ExpectimaxAgent,0:00:16.892831,52,Lose
ExpectimaxAgent,0:00:12.118006,-154,Lose
ExpectimaxAgent,0:00:09.740842,-143,Lose
ExpectimaxAgent,0:00:15.423864,-128,Lose
ExpectimaxAgent,0:00:05.545041,-376,Lose
ExpectimaxAgent,0:00:11.432380,-161,Lose
ExpectimaxAgent,0:00:05.593078,-356,Lose
ExpectimaxAgent,0:00:05.748228,-320,Lose
ExpectimaxAgent,0:00:18.789558,35,Lose
ExpectimaxAgent,0:00:39.785110,1481,Win
ExpectimaxAgent,0:00:06.501470,-348,Lose
ExpectimaxAgent,0:00:13.645396,-257,Lose
ExpectimaxAgent,0:00:05.937893,-331,Lose
ExpectimaxAgent,0:00:07.590396,-313,Lose
AlphaBetaAgent,0:00:36.408033,1676,Win
AlphaBetaAgent,0:00:38.735643,841,Lose
AlphaBetaAgent,0:00:31.963500,1494,Win
AlphaBetaAgent,0:00:36.063533,1681,Win
AlphaBetaAgent,0:00:32.368870,885,Lose
AlphaBetaAgent,0:00:05.719189,-248,Lose
AlphaBetaAgent,0:00:27.363427,446,Lose
AlphaBetaAgent,0:00:48.627636,1604,Win
AlphaBetaAgent,0:00:14.399566,461,Lose
AlphaBetaAgent,0:00:38.354803,1475,Win
AlphaBetaAgent,0:00:48.506010,587,Lose
AlphaBetaAgent,0:00:45.242558,1425,Win
AlphaBetaAgent,0:00:35.762942,1670,Win
AlphaBetaAgent,0:00:33.607000,483,Lose
AlphaBetaAgent,0:00:34.008852,1687,Win
AlphaBetaAgent,0:00:25.998597,718,Lose
AlphaBetaAgent,0:00:16.735190,464,Lose
AlphaBetaAgent,0:00:12.695014,52,Lose
AlphaBetaAgent,0:00:36.257403,472,Lose
AlphaBetaAgent,0:00:32.427928,1492,Win
AlphaBetaAgent,0:00:35.433156,1676,Win
AlphaBetaAgent,0:00:30.149868,875,Lose
AlphaBetaAgent,0:00:36.495118,475,Lose
AlphaBetaAgent,0:00:12.275643,367,Lose
AlphaBetaAgent,0:00:29.220025,1511,Win
AlphaBetaAgent,0:00:08.890568,-105,Lose
AlphaBetaAgent,0:00:37.618172,851,Lose
AlphaBetaAgent,0:00:38.728672,1864,Win
AlphaBetaAgent,0:00:41.960620,1852,Win
AlphaBetaAgent,0:00:34.468288,1868,Win
AlphaBetaAgent,0:00:40.287541,2050,Win
AlphaBetaAgent,0:00:36.399031,1475,Win
AlphaBetaAgent,0:00:05.793262,-248,Lose
AlphaBetaAgent,0:00:06.282198,-286,Lose
AlphaBetaAgent,0:00:37.926412,1658,Win
AlphaBetaAgent,0:00:28.410774,782,Lose
AlphaBetaAgent,0:00:12.447808,-64,Lose
AlphaBetaAgent,0:00:45.447304,613,Lose
AlphaBetaAgent,0:00:14.360545,15,Lose
AlphaBetaAgent,0:00:37.986020,620,Lose
AlphaBetaAgent,0:00:37.598632,664,Lose
AlphaBetaAgent,0:00:11.277807,-136,Lose
AlphaBetaAgent,0:00:39.952291,1454,Win
AlphaBetaAgent,0:00:36.326004,1475,Win
AlphaBetaAgent,0:00:24.745092,1016,Lose
AlphaBetaAgent,0:00:14.106305,34,Lose
AlphaBetaAgent,0:00:50.350256,374,Lose
AlphaBetaAgent,0:00:23.757083,490,Lose
AlphaBetaAgent,0:00:50.529861,2007,Win
AlphaBetaAgent,0:00:31.680784,1299,Win
ExpectimaxAgent,0:00:14.373580,-46,Lose
ExpectimaxAgent,0:00:05.861323,-376,Lose
ExpectimaxAgent,0:00:14.436116,-105,Lose
ExpectimaxAgent,0:00:05.029572,-348,Lose
ExpectimaxAgent,0:00:05.916375,-376,Lose
ExpectimaxAgent,0:00:34.056897,1510,Win
ExpectimaxAgent,0:00:35.239999,1313,Win
ExpectimaxAgent,0:01:03.316992,335,Lose
ExpectimaxAgent,0:00:04.978025,-348,Lose
ExpectimaxAgent,0:00:10.921423,-187,Lose
ExpectimaxAgent,0:00:05.557261,-392,Lose
ExpectimaxAgent,0:00:11.707640,-179,Lose
ExpectimaxAgent,0:00:40.865234,275,Lose
ExpectimaxAgent,0:00:04.535111,-376,Lose
ExpectimaxAgent,0:00:05.171198,-376,Lose
ExpectimaxAgent,0:00:38.384911,484,Lose
ExpectimaxAgent,0:00:05.592076,-356,Lose
ExpectimaxAgent,0:00:37.533072,255,Lose
ExpectimaxAgent,0:00:20.853496,15,Lose
ExpectimaxAgent,0:00:09.670269,-168,Lose
ExpectimaxAgent,0:00:35.605806,465,Lose
ExpectimaxAgent,0:00:31.355885,297,Lose
ExpectimaxAgent,0:00:04.348443,-376,Lose
ExpectimaxAgent,0:00:04.109737,-375,Lose
ExpectimaxAgent,0:00:04.912460,-376,Lose
